accuracy,loss,val_accuracy,val_loss,learning_rate
0.7507829070091248,0.8749355673789978,0.5281836986541748,1.1196918487548828,9.999999747378752e-05
0.8298538327217102,0.48756515979766846,0.668058454990387,0.9904611706733704,9.999999747378752e-05
0.8692588806152344,0.40083691477775574,0.8851774334907532,0.4065902829170227,9.999999747378752e-05
0.8890918493270874,0.34208354353904724,0.9227557182312012,0.21477384865283966,9.999999747378752e-05
0.9078810214996338,0.31407371163368225,0.9373695254325867,0.18426451086997986,9.999999747378752e-05
0.9065762162208557,0.28763243556022644,0.9331941604614258,0.17701436579227448,9.999999747378752e-05
0.9112734794616699,0.2696666121482849,0.9394571781158447,0.17271490395069122,9.999999747378752e-05
0.9138830900192261,0.26602256298065186,0.9394571781158447,0.15260978043079376,9.999999747378752e-05
0.918058454990387,0.25747787952423096,0.931106448173523,0.1643439084291458,9.999999747378752e-05
0.9191023111343384,0.24591080844402313,0.9206680655479431,0.2729620337486267,9.999999747378752e-05
0.9326722621917725,0.2316269874572754,0.9561586380004883,0.1458284705877304,4.999999873689376e-05
0.9415448904037476,0.19487690925598145,0.9436325430870056,0.14407530426979065,4.999999873689376e-05
0.943893551826477,0.18995411694049835,0.9457202553749084,0.14307287335395813,4.999999873689376e-05
0.9457202553749084,0.1773224025964737,0.9498956203460693,0.1416710913181305,4.999999873689376e-05
0.9436325430870056,0.17694459855556488,0.9415448904037476,0.15562035143375397,4.999999873689376e-05
0.9449373483657837,0.17994475364685059,0.9436325430870056,0.1538638025522232,4.999999873689376e-05
0.9543319344520569,0.15263187885284424,0.9478079080581665,0.15115199983119965,2.499999936844688e-05
0.9613778591156006,0.14127756655216217,0.9457202553749084,0.1553676724433899,2.499999936844688e-05
0.9538100361824036,0.14669011533260345,0.9436325430870056,0.1477888524532318,1.249999968422344e-05
0.9548538327217102,0.1497955024242401,0.9436325430870056,0.1631767451763153,1.249999968422344e-05
